ticker,month,total_return_pct,source,fetched_at
SMH,2020-01,-1.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2020-02,-4.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2020-03,-11.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2020-04,14.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2020-05,5.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2020-06,8.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2020-07,8.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2020-08,5.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2020-09,-0.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2020-10,0.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2020-11,19.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2020-12,4.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-01,4.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-02,6.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-03,1.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-04,-0.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-05,2.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-06,5.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-07,0.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-08,2.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-09,-5.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-10,6.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-11,11.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2021-12,1.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-01,-10.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-02,-2.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-03,0.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-04,-14.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-05,6.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-06,-16.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-07,16.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-08,-9.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-09,-13.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-10,2.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-11,20.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2022-12,-10.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-01,18.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-02,1.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-03,9.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-04,-6.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-05,16.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-06,5.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-07,5.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-08,-2.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-09,-7.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-10,-4.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-11,15.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2023-12,9.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-01,6.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-02,14.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-03,6.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-04,-4.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-05,12.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-06,8.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-07,-5.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-08,-1.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-09,0.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-10,-1.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-11,0.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2024-12,0.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-01,1.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-02,-4.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-03,-9.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-04,-0.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-05,13.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-06,16.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-07,3.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-08,0.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-09,12.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-10,11.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-11,-3.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2025-12,2.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2026-01,12.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2026-02,0.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
SMH,2026-03,-5.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
VGT,2012-01,8.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
VGT,2012-02,7.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
VGT,2012-03,4.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
